project,vendor,slice,metric,n,q25,median,q75,p90,mean,n_units
ActPlane,claude,early,repeat_read_share,35,0.4,0.62,0.8190573128719073,0.8557491289198605,0.5462666769045351,35
ActPlane,claude,early,reread_call_share,35,0.4,0.62,0.8186981643803309,0.8557491289198605,0.546505894393328,35
ActPlane,claude,early,failure_share,40,0.0,0.02209325009754194,0.04325396825396825,0.07953667953667953,0.03915103724415956,40
ActPlane,claude,early,resolved_failure_share,40,0.0,0.02209325009754194,0.04325396825396825,0.07953667953667953,0.03916838258077597,40
ActPlane,claude,early,observed_share,40,0.0,0.0,0.0,0.0,0.0004026851557813768,40
ActPlane,claude,early,recent_reedit_share,31,0.5492307692307692,0.75,0.8500000000000001,0.9230769230769231,0.6296069003681588,31
ActPlane,claude,early,edit_calls_per_path,30,4.083333333333333,5.333333333333334,10.532894736842106,14.900000000000002,7.8309935787180365,30
ActPlane,claude,early,paths_per_edit_call,31,1.0,1.0,1.0,1.0,0.9259586998296674,31
ActPlane,claude,early,patch_lines_median,0,,,,,,0
ActPlane,claude,early,edit_share,40,0.01519423558897243,0.16570037105751392,0.37705616850551654,0.5241961881632439,0.22627508200875007,40
ActPlane,claude,early,tool_read_share,40,0.14600840336134455,0.24481601342442766,0.31988636363636364,0.43330223880597013,0.24471048969760836,40
ActPlane,claude,early,tool_edit_share,40,0.01519423558897243,0.17364332096474955,0.3920636910732197,0.538750563952177,0.23515502654765985,40
ActPlane,claude,early,tool_shell_share,40,0.16607702122723583,0.3487944890929966,0.5822100313479625,0.8934210526315791,0.4061221019797155,40
ActPlane,claude,early,tool_network_share,40,0.0,0.0,0.03997662964078339,0.29969142703814694,0.08918603829474578,40
ActPlane,claude,early,tool_plan_share,40,0.0,0.0,0.0,0.0,0.0,40
ActPlane,claude,early,tool_subagent_share,40,0.0,0.0,0.02200397407081664,0.0298604187437687,0.016439412361183764,40
ActPlane,claude,early,tool_tool_share,40,0.0,0.0,0.009821428571428571,0.024764595103578153,0.008386931119086803,40
ActPlane,claude,late,repeat_read_share,35,0.7041666666666666,0.8446601941747572,0.9667755991285403,1.0,0.7951192229031393,35
ActPlane,claude,late,reread_call_share,35,0.7041666666666666,0.8478260869565217,0.9667755991285403,1.0,0.799072936052957,35
ActPlane,claude,late,failure_share,40,0.01375,0.03061543267728835,0.04758813787683153,0.06673076923076923,0.032157402434260476,40
ActPlane,claude,late,resolved_failure_share,40,0.013896713615023475,0.03061543267728835,0.04768237082066869,0.06673076923076923,0.03218526867487055,40
ActPlane,claude,late,observed_share,40,0.0,0.0,0.0,0.0033408537595758067,0.0012816580132323009,40
ActPlane,claude,late,recent_reedit_share,36,0.41190853819719797,0.6821052631578948,0.8392857142857143,0.9761904761904762,0.6189688752751873,36
ActPlane,claude,late,edit_calls_per_path,34,3.625,5.266666666666667,8.95,13.0,6.585452103546733,34
ActPlane,claude,late,paths_per_edit_call,36,1.0,1.0,1.0,1.0,0.9001577126577127,36
ActPlane,claude,late,patch_lines_median,0,,,,,,0
ActPlane,claude,late,edit_share,40,0.09998139880952381,0.2621993127147766,0.3616031639928699,0.49821848739495805,0.2536576459335772,40
ActPlane,claude,late,tool_read_share,40,0.17452380952380953,0.2826241134751773,0.34270833333333334,0.4207181349578258,0.2796748485073783,40
ActPlane,claude,late,tool_edit_share,40,0.10952380952380952,0.2882504924407152,0.3792892156862745,0.5225000000000001,0.271350918208586,40
ActPlane,claude,late,tool_shell_share,40,0.2097537878787879,0.35416666666666663,0.5025147928994083,0.7188186813186814,0.37222942718964785,40
ActPlane,claude,late,tool_network_share,40,0.0,0.0,0.012546554934823092,0.1416968599033818,0.0600490328579532,40
ActPlane,claude,late,tool_plan_share,40,0.0,0.0,0.0,0.0,0.0014606551840594393,40
ActPlane,claude,late,tool_subagent_share,40,0.0,0.0,0.01520979020979021,0.04236058059587472,0.011900240204676855,40
ActPlane,claude,late,tool_tool_share,40,0.0,0.0,0.0,0.006468300929839399,0.0033348778476983607,40
ActPlane,claude,middle,repeat_read_share,37,0.6666666666666666,0.9,0.9811320754716981,1.0,0.7863607250826075,37
ActPlane,claude,middle,reread_call_share,37,0.6666666666666666,0.9,0.9811320754716981,1.0,0.786360534099865,37
ActPlane,claude,middle,failure_share,40,0.003012048192771084,0.016856060606060604,0.04188829787234043,0.07575757575757577,0.037073621075920285,40
ActPlane,claude,middle,resolved_failure_share,40,0.0030150753768844224,0.016856060606060604,0.04188829787234043,0.07575757575757577,0.037090224385676065,40
ActPlane,claude,middle,observed_share,40,0.0,0.0,0.0,0.0,0.0011041257770258203,40
ActPlane,claude,middle,recent_reedit_share,35,0.5930555555555556,0.7948717948717948,0.8888888888888888,0.9223157124565576,0.6622309357796864,35
ActPlane,claude,middle,edit_calls_per_path,33,4.25,6.666666666666667,13.333333333333334,19.800000000000004,8.72423707525575,33
ActPlane,claude,middle,paths_per_edit_call,35,1.0,1.0,1.0,1.0,0.9328798185941043,35
ActPlane,claude,middle,patch_lines_median,0,,,,,,0
ActPlane,claude,middle,edit_share,40,0.087322695035461,0.3138822115384615,0.4378282142582678,0.5546439628482973,0.2971222057174213,40
ActPlane,claude,middle,tool_read_share,40,0.15257092198581562,0.27239875689609483,0.35705416731336337,0.41838744422218804,0.27463231436525726,40
ActPlane,claude,middle,tool_edit_share,40,0.13108747044917257,0.352420424403183,0.463936374290447,0.593859649122807,0.3194395892774303,40
ActPlane,claude,middle,tool_shell_share,40,0.10714285714285714,0.2511697860962567,0.3792892156862745,0.6033333333333334,0.29567863690213214,40
ActPlane,claude,middle,tool_network_share,40,0.0,0.0,0.003968253968253968,0.476923076923077,0.09313441364359513,40
ActPlane,claude,middle,tool_plan_share,40,0.0,0.0,0.0,0.0,0.0,40
ActPlane,claude,middle,tool_subagent_share,40,0.0,0.0,0.008891645988420183,0.02910644665852794,0.013516944399328342,40
ActPlane,claude,middle,tool_tool_share,40,0.0,0.0,0.0,0.0012345679012345854,0.0035981014122568344,40
ActPlane,codex,early,repeat_read_share,47,0.3333333333333333,0.42857142857142855,0.732051282051282,0.7878424015009381,0.4745973134280706,47
ActPlane,codex,early,reread_call_share,47,0.3484848484848485,0.45454545454545453,0.7166666666666666,0.789811320754717,0.48849441013658573,47
ActPlane,codex,early,failure_share,51,0.0,0.027512757932105614,0.04229973630818238,0.07407407407407407,0.03138886697079719,51
ActPlane,codex,early,resolved_failure_share,51,0.0,0.03409090909090909,0.054212454212454214,0.08333333333333333,0.0361990247309006,51
ActPlane,codex,early,observed_share,51,0.0,0.05555555555555555,0.19956670956670958,0.2923497267759563,0.09961800782301106,51
ActPlane,codex,early,recent_reedit_share,23,0.25,0.38243626062322944,0.5581002892960463,0.6205479452054795,0.3765440123865263,23
ActPlane,codex,early,edit_calls_per_path,23,1.7321428571428572,2.4285714285714284,3.925,5.773333333333334,3.6390813257776613,23
ActPlane,codex,early,paths_per_edit_call,23,1.0,1.0273224043715847,1.233078162771958,1.6253968253968254,1.1591856125100137,23
ActPlane,codex,early,patch_lines_median,23,13.0,18.0,27.75,37.6,27.217391304347824,23
